cell,group,metric,geometry,time,gain_percent
solar_10min_power--chronos,high,physical_crps,0.9725444850391242,0.9754197498301616,0.2947720498316819
solar_10min_power--flowstate,high,physical_crps,1.253309208058302,1.25791626982996,0.36624550315108584
electricity_15min_load--chronos,high,bounded_is90,1.101187097276325,1.1491346494918881,4.172492077996615
electricity_15min_load--flowstate,high,bounded_is90,1.093126288494343,1.1437205262871586,4.423653911070302
ett1_15min_ot--chronos,high,bounded_is90,1.3311484430920728,1.350686193436075,1.4465055198572219
ett1_15min_ot--flowstate,high,bounded_is90,1.5169822364547003,1.5431002233836553,1.692565818679248
ett2_15min_ot--chronos,high,bounded_is90,0.6815859265054018,0.7837284795104427,13.032900510243595
ett2_15min_ot--flowstate,high,bounded_is90,0.7531296314521074,0.8060657466120134,6.567220525422712
jena_weather_10min_temperature--chronos,high,bounded_is90,0.8091350939845209,0.828394762776648,2.324938502456464
jena_weather_10min_temperature--flowstate,high,bounded_is90,0.7818925642804873,0.817469175640143,4.352043161969554
loop_seattle_5min_speed--chronos,high,bounded_is90,3.8123601192538175,3.9087019594969608,2.464803948765182
loop_seattle_5min_speed--flowstate,high,bounded_is90,3.937737140411434,3.9331496349769455,-0.11663694138897007
solar_10min_power--chronos,high,bounded_is90,1.1679588880822562,1.1806837574959108,1.0777542532339535
solar_10min_power--flowstate,high,bounded_is90,1.4425065723737256,1.4665822254960852,1.64161631743599
electricity_15min_load--chronos,high,physical_is90,287.5398341600982,302.97894061006843,5.095768840858228
electricity_15min_load--flowstate,high,physical_is90,281.71837254036046,295.71723384863304,4.733867257610724
ett1_15min_ot--chronos,high,physical_is90,3.0238815313655,3.0668658523220618,1.401571605227414
ett1_15min_ot--flowstate,high,physical_is90,3.3835384496385306,3.440289343098854,1.6495965251924094
ett2_15min_ot--chronos,high,physical_is90,4.945096219469679,5.707916551065697,13.364251645437864
ett2_15min_ot--flowstate,high,physical_is90,5.219497924995866,5.611372036702632,6.983570312993182
jena_weather_10min_temperature--chronos,high,physical_is90,3.074904696005523,3.156746377521119,2.592596038072059
jena_weather_10min_temperature--flowstate,high,physical_is90,3.164087640174645,3.3095313216013285,4.394691190180666
loop_seattle_5min_speed--chronos,high,physical_is90,33.55110568292132,34.39705897151718,2.4593768010700123
loop_seattle_5min_speed--flowstate,high,physical_is90,33.19260392049166,33.156866991728535,-0.10778137986331426
solar_10min_power--chronos,high,physical_is90,8.91187456538223,9.055644795545053,1.5876310677904515
solar_10min_power--flowstate,high,physical_is90,12.385754092138075,12.672886443243225,2.2657218021411296
electricity_15min_load--chronos,high,original_crps,79.43071968972106,78.98875790136447,-0.5595249249374046
electricity_15min_load--flowstate,high,original_crps,60.98091754884645,61.371133216554156,0.6358293341770183
ett1_15min_ot--chronos,high,original_crps,0.16780896981083557,0.16822529096857766,0.24747834011465963
ett1_15min_ot--flowstate,high,original_crps,0.18117415799634293,0.1816873954707101,0.28248380854242194
ett2_15min_ot--chronos,high,original_crps,0.07911443323943869,0.08130032157033351,2.6886588990964744
ett2_15min_ot--flowstate,high,original_crps,0.09091857861117922,0.09191740430853314,1.0866556827488605
jena_weather_10min_temperature--chronos,high,original_crps,0.10116688805670038,0.10141357079795649,0.24324431071218733
jena_weather_10min_temperature--flowstate,high,original_crps,0.10309852809294107,0.10411213608811908,0.973573334736022
loop_seattle_5min_speed--chronos,high,original_crps,0.4106381727436661,0.41271311471742433,0.5027564910746518
loop_seattle_5min_speed--flowstate,high,original_crps,0.4585506712749138,0.45881285070137506,0.05714299982236826
solar_10min_power--chronos,high,original_crps,0.1765203596732725,0.17696482814187042,0.25116203782685753
solar_10min_power--flowstate,high,original_crps,0.20207582843594338,0.2023759302701934,0.14828929203654084
electricity_15min_load--chronos,high,original_is90,745.1272882731259,748.2099879550564,0.4120099613152406
electricity_15min_load--flowstate,high,original_is90,611.9365817155478,639.9174893266281,4.372580540113702
ett1_15min_ot--chronos,high,original_is90,1.4806784231926768,1.5026883167940719,1.464701186228179
